time,ETHUSDT,BTCUSDT,SOMIUSDT,SOLUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,AVNTUSDT,PUMPUSDT,SUIUSDT,AVAXUSDT,WLFIUSDT,PEPEUSDT,TSTUSDT,TRXUSDT,ENAUSDT,WLDUSDT,ZKCUSDT,ADAUSDT,LINEAUSDT,LINKUSDT,PENGUUSDT,LTCUSDT,MITOUSDT,OPENUSDT,AAVEUSDT,WIFUSDT,ARBUSDT,MUBARAKUSDT,UNIUSDT,BONKUSDT,DOTUSDT,RAREUSDT,NEARUSDT,SEIUSDT,XLMUSDT,FILUSDT,IMXUSDT,PROMUSDT,OGUSDT,PAXGUSDT,HOLOUSDT,ETHFIUSDT,HBARUSDT,HIFIUSDT,CRVUSDT,ONDOUSDT,EIGENUSDT,FORMUSDT,CAKEUSDT
2025-09-16 02:00 CT,-0.004243,0.004149,0.004234,0.002929,-0.004255,0.010646,0.000067,0.015593,0.003120,0.001822,0.012551,0.010403,-0.000928,-0.015278,-0.000868,0.004875,0.004667,-0.013408,0.002322,-0.041334,-0.000852,0.006347,0.012941,0.061355,0.006974,-0.006635,0.007910,0.004482,0.003627,-0.004582,-0.010265,0.000963,0.003724,0.014954,-0.000317,0.002909,0.001248,0.050613,0.069474,0.007875,0.003102,-0.018043,0.009015,-0.003619,0.003147,-0.010145,0.006850,0.003253,0.009039,0.004085
2025-09-16 02:05 CT,-0.005267,0.003080,-0.002794,0.001868,-0.005598,0.010516,-0.000837,0.012653,0.001080,0.000683,0.011194,0.009046,-0.002783,-0.016006,-0.001446,0.001147,0.004667,-0.015324,0.001045,-0.045502,-0.001704,0.004516,0.013207,0.060956,0.009066,-0.007274,0.009040,0.003056,0.002308,-0.005673,-0.012404,-0.000482,0.003724,0.013420,-0.001586,0.001851,-0.000416,0.047546,0.061837,0.010854,0.002828,-0.018297,0.006241,-0.004343,0.010699,-0.011768,0.006263,0.003253,0.006135,0.003268
2025-09-16 02:10 CT,-0.005232,0.003823,-0.011855,0.002123,-0.004217,0.012102,0.000000,0.011316,-0.000240,0.001253,0.012212,0.007689,-0.002783,-0.014915,-0.001157,0.001864,0.002667,-0.014197,0.001393,-0.049670,-0.001704,0.004272,0.015246,0.062550,0.003952,-0.006904,0.009040,0.003871,0.002638,-0.005128,-0.011976,-0.000241,0.003724,0.014571,-0.001586,0.002645,0.000000,0.056748,0.061943,0.007165,0.003257,-0.017789,0.009709,-0.003960,0.025173,-0.010956,0.007144,0.002602,0.005199,0.004493
2025-09-16 02:15 CT,-0.004234,0.004107,0.002456,0.003099,-0.001008,0.010472,0.001506,0.012118,0.002520,0.003245,0.016621,0.009046,-0.000928,-0.011277,-0.000579,0.002007,0.003333,-0.013183,0.001857,-0.038902,0.000426,0.005767,0.017284,0.070518,0.012785,-0.005355,0.012429,0.006112,0.004946,-0.003928,-0.010265,0.001445,0.003724,0.019555,0.001269,0.003438,0.001248,0.070552,0.080399,0.011493,0.003522,-0.013469,0.012483,-0.002853,0.012587,-0.008792,0.010177,0.005205,0.007868,0.004902
2025-09-16 02:20 CT,-0.004345,0.003783,0.007029,0.002123,-0.000970,0.011743,0.000670,0.013633,0.006840,0.002790,0.018657,0.007689,-0.001855,-0.013823,-0.000289,0.001291,0.002667,-0.010930,0.001857,-0.042723,-0.000426,0.003234,0.018259,0.065339,0.008136,-0.005119,0.009040,0.006520,0.003297,-0.004146,-0.010265,0.001686,0.003724,0.019555,0.001269,0.002645,0.001248,0.079755,0.069050,0.015253,0.002980,-0.012706,0.012483,-0.002512,-0.002517,-0.009333,0.010079,0.003253,0.009039,0.005719
2025-09-16 02:25 CT,-0.004234,0.003927,0.027691,0.002462,-0.000709,0.010755,0.002243,0.014346,0.002520,0.004413,0.021031,0.009046,0.000000,-0.012368,0.000579,0.005305,0.002000,-0.012845,0.003018,-0.036471,0.000000,0.004425,0.017816,0.068924,0.013017,-0.005018,0.009040,0.006927,0.004946,-0.002946,-0.009837,0.001927,0.007449,0.022239,0.002220,0.002909,0.000832,0.079755,0.070853,0.013621,0.002910,-0.010419,0.011789,-0.002086,0.023285,-0.007710,0.009492,0.004554,0.009179,0.006127
2025-09-16 02:30 CT,-0.003819,0.003762,0.027352,0.002420,-0.000746,0.011037,0.002712,0.016662,-0.000720,0.004583,0.020692,0.009950,0.000000,-0.008730,0.001157,0.002868,0.001333,-0.017465,0.003134,-0.037513,0.000000,0.004028,0.016752,0.069323,0.012320,-0.004378,0.009040,0.007539,0.005935,-0.001418,-0.008982,0.001927,0.007449,0.025307,0.002854,0.002645,0.001664,0.085890,0.077111,0.013692,0.002761,-0.012198,0.015950,-0.001192,0.013216,-0.007304,0.011058,0.006506,0.006697,0.006127
2025-09-16 02:35 CT,-0.005221,0.003020,0.018545,0.000127,-0.003956,0.009440,0.002142,0.003921,-0.010560,0.002249,0.018318,0.007689,-0.001855,-0.012732,0.000579,0.001004,0.001333,-0.012169,0.001393,-0.042376,-0.002556,0.001861,0.016398,0.066135,0.010460,-0.006399,0.006780,0.006520,0.003956,-0.001418,-0.011121,0.000241,0.005587,0.022623,0.001586,0.001322,0.000832,0.084356,0.076580,0.013550,0.002200,-0.009403,0.010402,-0.003704,-0.003776,-0.008927,0.008220,0.001301,0.006557,0.005310
2025-09-16 02:40 CT,-0.004391,0.003630,0.028368,0.001358,-0.002911,0.010081,0.003147,0.005168,-0.005640,0.003245,0.019674,0.019448,-0.001855,-0.011641,0.000868,0.001721,0.000667,-0.008451,0.002438,-0.040986,-0.001278,0.003631,0.018171,0.068526,0.011041,-0.005085,0.007910,0.008150,0.005275,-0.000982,-0.010265,0.001686,0.007449,0.015721,0.001903,0.001851,0.001664,0.088957,0.077429,0.014401,0.002173,-0.010673,0.010402,-0.002980,-0.002517,-0.007981,0.009492,0.003904,0.010163,0.005310
2025-09-16 02:45 CT,-0.003214,0.003820,0.015920,0.002377,0.000224,0.011298,0.008202,0.010514,-0.008640,0.005978,0.035278,0.013569,0.000000,-0.010186,0.001157,0.002007,0.002667,-0.004282,0.005572,-0.032650,0.002130,0.006530,0.019855,0.064542,0.011274,-0.002256,0.012429,0.013651,0.008902,0.001091,-0.006416,0.004094,0.009311,0.023006,0.006026,0.005290,0.005408,0.098160,0.079656,0.012841,0.002235,-0.004574,0.015950,0.001107,0.000629,-0.004193,0.012232,0.009109,0.012926,0.006944
